Phoneme_IPA,language,anterior,back,consonantal,continuant,coronal,diphthong,distributed,high,labial,lateral,long,low,monophthong,nasal,round,short,sonorant,voiced
iː,en_au,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
ɪ,"en_au, en_us",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
e,en_au,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
eː,en_au,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
æ,"en_au, en_us",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1
ɐː,en_au,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ɐ,en_au,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
ɔ,"en_au, en_us",0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1
oː,en_au,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
ʊ,"en_au, en_us",0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
ʉː,en_au,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
ɜː,en_au,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ə,en_au,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
æɪ,en_au,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
ɑe,en_au,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
oɪ,en_au,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
əʉ,en_au,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
æɔ,en_au,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
ɪə,en_au,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
p,"en_au, en_us",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
b,"en_au, en_us",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
t,"en_au, en_us",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d,"en_au, en_us",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
k,"en_au, en_us",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ɡ,en_au,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
tʃ,"en_au, en_us",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
dʒ,"en_au, en_us",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
f,"en_au, en_us",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
v,"en_au, en_us",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
θ,"en_au, en_us",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ð,"en_au, en_us",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s,"en_au, en_us",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
z,"en_au, en_us",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ʃ,"en_au, en_us",0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ʒ,"en_au, en_us",0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
h,"en_au, en_us",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,"en_au, en_us",1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
n,"en_au, en_us",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
ŋ,"en_au, en_us",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
l,"en_au, en_us",1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
ɹ,"en_au, en_us",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
w,"en_au, en_us",0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1
j,"en_au, en_us",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
ɑ,en_us,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1
ʌ,en_us,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
aʊ,en_us,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1
aɪ,en_us,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
ɛ,en_us,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
ɝ,en_us,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
eɪ,en_us,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
i,en_us,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
oʊ,en_us,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1
ɔɪ,en_us,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1
u,en_us,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1
g,en_us,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
